epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
123,0.261558,0.128232,0.672329,0.291605,4.849184,,0.4642,0.512,0.4163,0.8082,0.915,0.6142
124,0.274544,0.133931,0.681765,0.340905,4.849191,,0.3207,0.3327,0.3087,0.6645,0.8202,0.4766
125,0.263266,0.129094,0.666238,0.30738,4.849193,,0.477,0.517,0.437,0.8563,0.9532,0.6373
126,0.272512,0.136421,0.681265,0.317239,4.849191,,0.5803,0.6533,0.5073,0.8952,0.9693,0.716
127,0.273199,0.133888,0.682149,0.331611,4.849202,,0.518,0.5913,0.4447,0.854,0.9397,0.6638
128,0.255298,0.1218,0.657235,0.297869,4.849206,,0.5223,0.6217,0.423,0.8565,0.9388,0.6666
129,0.258459,0.131303,0.665253,0.267075,4.849192,,0.299,0.3287,0.2693,0.6398,0.793,0.4536
130,0.26838,0.134636,0.675228,0.305476,4.849196,,0.3647,0.371,0.3583,0.7427,0.873,0.5301
131,0.264165,0.132235,0.669222,0.29579,4.849199,,0.5698,0.6607,0.479,0.8833,0.953,0.7062
132,0.258498,0.124214,0.655146,0.311535,4.849214,,0.528,0.6133,0.4427,0.852,0.9398,0.6675
133,0.267119,0.132094,0.669254,0.31605,4.849207,,0.5145,0.5903,0.4387,0.8488,0.9378,0.6595
134,0.257287,0.129784,0.658415,0.274964,4.849201,,0.4288,0.4843,0.3733,0.7578,0.878,0.5739
135,0.255182,0.12229,0.649292,0.305569,4.849204,,0.5,0.5867,0.4133,0.8623,0.9433,0.6534
136,0.258048,0.12504,0.657779,0.301439,4.849214,,0.4262,0.4767,0.3757,0.8038,0.9155,0.5897
137,0.254014,0.124772,0.648096,0.288616,4.849216,,0.386,0.426,0.346,0.799,0.919,0.5609
138,0.251057,0.121427,0.650743,0.27987,4.849219,,0.3198,0.3447,0.295,0.6492,0.7945,0.4704
139,0.260664,0.1309,0.662107,0.287714,4.84921,,0.3317,0.378,0.2853,0.721,0.8695,0.5014
140,0.257218,0.128135,0.656261,0.284521,4.849202,,0.3452,0.3917,0.2987,0.672,0.8275,0.4962
141,0.249121,0.119346,0.640104,0.290169,4.849211,,0.552,0.624,0.48,0.8853,0.9553,0.6934
142,0.256928,0.125207,0.653336,0.299175,4.849216,,0.4723,0.5557,0.389,0.8572,0.9472,0.6369
143,0.250195,0.126471,0.659799,0.240191,4.849219,,0.5163,0.6303,0.4023,0.884,0.9473,0.6724
144,0.24468,0.121387,0.645575,0.24442,4.849202,,0.68,0.7847,0.5753,0.9557,0.9857,0.7979
145,0.250048,0.124761,0.647313,0.263274,4.849201,,0.4475,0.524,0.371,0.7963,0.9012,0.6012
146,0.251831,0.129671,0.65505,0.243566,4.849214,,0.4838,0.5543,0.4133,0.8268,0.9342,0.6328
147,0.252322,0.126171,0.647265,0.272387,4.849217,,0.3402,0.3853,0.295,0.6787,0.8158,0.4922
148,0.249432,0.121732,0.651113,0.267226,4.849216,,0.426,0.4673,0.3847,0.7965,0.9172,0.588
149,0.249293,0.121752,0.645406,0.273819,4.849213,,0.4618,0.551,0.3727,0.821,0.9305,0.6165
150,0.24728,0.119632,0.644593,0.270674,4.849223,,0.607,0.686,0.528,0.9035,0.969,0.7335
151,0.248711,0.118368,0.634244,0.299489,4.849227,,0.5823,0.665,0.4997,0.8985,0.9685,0.7171
152,0.240166,0.111358,0.624591,0.28577,4.84922,,0.5695,0.659,0.48,0.924,0.978,0.7193
153,0.237669,0.115713,0.628598,0.244908,4.849224,,0.666,0.7873,0.5447,0.9483,0.9857,0.7878
154,0.242423,0.120434,0.631846,0.251811,4.849225,,0.6728,0.792,0.5537,0.954,0.9892,0.7915
155,0.253206,0.123253,0.63612,0.305781,4.84921,,0.4175,0.47,0.365,0.8073,0.9298,0.5845
156,0.243567,0.1163,0.624492,0.287161,4.849223,,0.5053,0.5813,0.4293,0.8555,0.9472,0.6554
157,0.246528,0.118891,0.624556,0.295584,4.849208,,0.5557,0.6387,0.4727,0.9073,0.9678,0.705
158,0.244236,0.120668,0.635254,0.258338,4.849225,,0.177,0.1797,0.1743,0.4507,0.6227,0.314
159,0.236294,0.118639,0.621604,0.232386,4.849222,,0.421,0.476,0.366,0.7632,0.8925,0.5729
160,0.249173,0.124318,0.633128,0.278276,4.849202,,0.5302,0.615,0.4453,0.898,0.9718,0.6855
161,0.253204,0.12677,0.636377,0.290187,4.849204,,0.6928,0.804,0.5817,0.9622,0.9895,0.8086
162,0.244112,0.117753,0.625611,0.283002,4.849205,,0.6562,0.705,0.6073,0.9562,0.9895,0.7835
163,0.23962,0.117041,0.625325,0.256526,4.849218,,0.7377,0.8247,0.6507,0.9747,0.9935,0.842
164,0.237778,0.117639,0.618292,0.25103,4.849214,,0.5633,0.6427,0.484,0.9218,0.976,0.7155
165,0.24292,0.121928,0.63395,0.245847,4.849229,,0.316,0.3393,0.2927,0.6912,0.8507,0.4813
166,0.244275,0.116591,0.624078,0.29117,4.849236,,0.2877,0.2867,0.2887,0.6395,0.806,0.447
167,0.239015,0.114729,0.61543,0.2757,4.849235,,0.5063,0.5507,0.462,0.8608,0.9548,0.6566
168,0.238556,0.118033,0.612301,0.262493,4.849236,,0.4318,0.4813,0.3823,0.8207,0.9407,0.5992
169,0.23033,0.113132,0.607869,0.2348,4.849232,,0.4102,0.452,0.3683,0.793,0.9265,0.5754
170,0.228314,0.10807,0.605933,0.24588,4.849233,,0.5453,0.603,0.4877,0.8782,0.9613,0.6854
171,0.23613,0.114614,0.611785,0.261826,4.849244,,0.4078,0.4457,0.37,0.7533,0.8845,0.5604
172,0.234538,0.115811,0.612777,0.244704,4.849246,,0.5417,0.6363,0.447,0.8897,0.964,0.689
173,0.236628,0.115587,0.616187,0.255057,4.849245,,0.4795,0.5337,0.4253,0.8495,0.9515,0.6373
174,0.223277,0.109095,0.59475,0.22277,4.849245,,0.3138,0.3487,0.279,0.6607,0.8272,0.4728
175,0.227935,0.113912,0.609571,0.213188,4.849248,,0.3518,0.388,0.3157,0.734,0.88,0.5192
176,0.232305,0.111246,0.600327,0.266196,4.849245,,0.3742,0.418,0.3303,0.7468,0.895,0.5377
177,0.232719,0.113517,0.604664,0.253333,4.849251,,0.3115,0.3453,0.2777,0.6695,0.8332,0.4729
178,0.234118,0.116295,0.611408,0.241631,4.849266,,0.4288,0.489,0.3687,0.7972,0.9135,0.5869
179,0.22732,0.106485,0.584534,0.274655,4.849261,,0.572,0.6433,0.5007,0.9078,0.9733,0.7137
180,0.221047,0.104625,0.587525,0.236905,4.849261,,0.5512,0.6193,0.483,0.896,0.9688,0.6966
181,0.226296,0.113172,0.599093,0.219441,4.849268,,0.7013,0.7677,0.635,0.9703,0.995,0.8165
182,0.233064,0.113345,0.596714,0.266981,4.849261,,0.5308,0.5493,0.5123,0.8823,0.9635,0.68
183,0.228162,0.101983,0.573795,0.314095,4.849255,,0.501,0.5687,0.4333,0.8687,0.956,0.658
184,0.225496,0.101306,0.581253,0.28931,4.849252,,0.5035,0.5713,0.4357,0.8752,0.9565,0.6591
185,0.218121,0.099796,0.580065,0.248268,4.849251,,0.5053,0.5507,0.46,0.8637,0.9588,0.659
186,0.214425,0.099045,0.572033,0.237596,4.84925,,0.5113,0.562,0.4607,0.8617,0.949,0.6618
187,0.21014,0.091796,0.558331,0.258709,4.849258,,0.4533,0.4943,0.4123,0.8128,0.925,0.6073
188,0.208387,0.089623,0.556672,0.258649,4.849253,,0.426,0.4477,0.4043,0.7478,0.8685,0.5706
189,0.202137,0.086178,0.552194,0.237882,4.849254,,0.3827,0.3947,0.3707,0.6797,0.8017,0.5202
190,0.203088,0.085962,0.548479,0.250118,4.849254,,0.443,0.4663,0.4197,0.7962,0.9102,0.5969
191,0.199507,0.08541,0.544332,0.234158,4.849251,,0.4553,0.496,0.4147,0.8182,0.9277,0.612
192,0.197984,0.082683,0.534495,0.248938,4.849253,,0.5107,0.5727,0.4487,0.8425,0.9268,0.6538
193,0.198024,0.081431,0.541934,0.244715,4.849265,,0.4485,0.4793,0.4177,0.7962,0.9043,0.5997
194,0.191152,0.07756,0.526684,0.236008,4.84927,,0.4157,0.4567,0.3747,0.7588,0.8838,0.5669
195,0.195112,0.081867,0.532542,0.235936,4.84927,,0.3518,0.384,0.3197,0.6865,0.8285,0.5027
196,0.18319,0.075707,0.515499,0.205873,4.849272,,0.4322,0.4613,0.403,0.7625,0.8747,0.5785
197,0.183031,0.073683,0.506954,0.22497,4.849281,,0.3583,0.3843,0.3323,0.6648,0.7983,0.4995
198,0.183961,0.07435,0.507166,0.228004,4.849283,,0.321,0.3443,0.2977,0.6155,0.7417,0.4563
199,0.188913,0.081377,0.522489,0.210132,4.849278,,0.3798,0.3967,0.363,0.6745,0.7947,0.5166
200,0.185416,0.076949,0.506905,0.226786,4.849283,,0.3152,0.3323,0.298,0.606,0.7402,0.4518
201,0.183953,0.071803,0.500176,0.248307,4.849275,,0.3737,0.393,0.3543,0.6937,0.8192,0.5182
202,0.181973,0.07097,0.498776,0.240582,4.84927,,0.4773,0.5107,0.444,0.7955,0.8938,0.6178
203,0.181235,0.069735,0.497364,0.242895,4.849273,,0.5072,0.576,0.4383,0.8485,0.9462,0.6545
204,0.191907,0.077333,0.508826,0.265838,4.849271,,0.3928,0.4167,0.369,0.701,0.8163,0.5318
205,0.180488,0.073361,0.497815,0.221603,4.849277,,0.4313,0.476,0.3867,0.745,0.8535,0.5707
206,0.184703,0.071718,0.5045,0.247914,4.849286,,0.3895,0.3943,0.3847,0.7005,0.8298,0.5306
207,0.183442,0.073681,0.50171,0.234714,4.849283,,0.3487,0.3817,0.3157,0.6528,0.7792,0.4884
208,0.174712,0.068926,0.490215,0.21245,4.849292,,0.407,0.44,0.374,0.7002,0.8162,0.5417
209,0.187391,0.071313,0.500173,0.273351,4.849291,,0.4348,0.4603,0.4093,0.7228,0.8292,0.5669
210,0.192252,0.077919,0.512043,0.261304,4.849294,,0.3578,0.3597,0.356,0.6335,0.7547,0.4881
211,0.179978,0.067094,0.491835,0.253334,4.849288,,0.3688,0.3743,0.3633,0.649,0.7645,0.5003
212,0.183112,0.074191,0.498619,0.234432,4.849285,,0.3468,0.3707,0.323,0.6543,0.7872,0.4892
213,0.171736,0.064317,0.481105,0.224728,4.849293,,0.3732,0.4013,0.345,0.668,0.7857,0.5083
214,0.170713,0.064437,0.470081,0.232084,4.849292,,0.3867,0.4033,0.37,0.6687,0.7928,0.5199
215,0.168017,0.061021,0.467996,0.231696,4.849297,,0.3347,0.3413,0.328,0.6043,0.7233,0.4643
216,0.165337,0.064003,0.463171,0.207337,4.849288,,0.34,0.3657,0.3143,0.6138,0.7343,0.4699
217,0.172832,0.068119,0.47657,0.221603,4.849295,,0.3393,0.3543,0.3243,0.609,0.7263,0.4662
218,0.174378,0.065423,0.472447,0.249093,4.849299,,0.3428,0.3427,0.343,0.6157,0.7298,0.4711
219,0.167186,0.063707,0.468286,0.214128,4.849304,,0.3145,0.334,0.295,0.5848,0.7095,0.444
220,0.16147,0.060469,0.461337,0.199316,4.849305,,0.2597,0.2617,0.2577,0.5238,0.638,0.3857
221,0.160091,0.056659,0.456339,0.213295,4.849304,,0.3177,0.3243,0.311,0.5837,0.7105,0.4453
222,0.167049,0.058468,0.453611,0.255482,4.849304,,0.4112,0.4167,0.4057,0.691,0.8185,0.5401
223,0.161174,0.055701,0.443041,0.242403,4.849307,,0.3622,0.3627,0.3617,0.6297,0.7543,0.4884
224,0.161611,0.055553,0.444339,0.244223,4.849307,,0.279,0.2727,0.2853,0.5153,0.6335,0.3945
225,0.154976,0.051851,0.432646,0.231622,4.849304,,0.281,0.274,0.288,0.5338,0.6573,0.4033
226,0.159246,0.054539,0.441202,0.237036,4.849308,,0.3118,0.3257,0.298,0.5687,0.696,0.4371
227,0.164303,0.058095,0.455581,0.236166,4.849306,,0.2782,0.277,0.2793,0.5352,0.6697,0.4046
228,0.159019,0.056542,0.440133,0.228266,4.849318,,0.3827,0.3773,0.388,0.6272,0.7423,0.5002
229,0.160545,0.054512,0.440455,0.246805,4.849319,,0.3867,0.3923,0.381,0.6558,0.7815,0.513
230,0.167704,0.059833,0.455095,0.251959,4.849323,,0.3468,0.3513,0.3423,0.6145,0.7333,0.4739
231,0.1594,0.055399,0.450012,0.222592,4.849316,,0.4505,0.4773,0.4237,0.7292,0.8445,0.5775
232,0.155652,0.055434,0.435074,0.217363,4.849318,,0.4028,0.4017,0.404,0.6572,0.773,0.5231
233,0.157734,0.056794,0.439829,0.219017,4.849319,,0.2962,0.2867,0.3057,0.556,0.6818,0.423
234,0.155734,0.053914,0.434709,0.224985,4.849325,,0.4902,0.5073,0.473,0.7727,0.8812,0.617
235,0.157027,0.057106,0.438269,0.215023,4.849322,,0.3993,0.411,0.3877,0.6642,0.7797,0.5228
236,0.150317,0.049163,0.419711,0.229459,4.849321,,0.4513,0.4677,0.435,0.7142,0.8213,0.5727
237,0.152135,0.050568,0.422989,0.231117,4.84933,,0.4688,0.4937,0.444,0.7255,0.8395,0.5879
238,0.146223,0.048984,0.411323,0.214124,4.849322,,0.374,0.3827,0.3653,0.6423,0.7665,0.5024
239,0.14452,0.047617,0.414129,0.204953,4.849325,,0.4235,0.4497,0.3973,0.7053,0.82,0.5533
240,0.151032,0.050534,0.421548,0.225833,4.849326,,0.4393,0.4677,0.411,0.7083,0.8177,0.5633
